i,|B_i|/n
190,0.0003960000
191,0.0003940000
192,0.0003860000
193,0.0003820000
194,0.0003740000
195,0.0003720000
196,0.0003660000
197,0.0003620000
198,0.0003560000
199,0.0003500000
200,0.0003440000
201,0.0003400000
202,0.0003320000
203,0.0003260000
204,0.0003180000
205,0.0003180000
206,0.0003060000
207,0.0002980000
208,0.0002880000
209,0.0002800000
210,0.0002640000
211,0.0002600000
212,0.0002580000
213,0.0002500000
214,0.0002480000
215,0.0002460000
216,0.0002420000
217,0.0002380000
218,0.0002380000
219,0.0002380000
220,0.0002340000
221,0.0002320000
222,0.0002280000
223,0.0002220000
224,0.0002140000
225,0.0002120000
226,0.0002100000
227,0.0002080000
228,0.0002080000
229,0.0002040000
230,0.0002020000
231,0.0002000000
232,0.0001980000
233,0.0001980000
234,0.0001860000
235,0.0001860000
236,0.0001840000
237,0.0001840000
238,0.0001820000
239,0.0001820000
240,0.0001780000
241,0.0001760000
242,0.0001760000
243,0.0001740000
244,0.0001720000
245,0.0001700000
246,0.0001680000
247,0.0001680000
248,0.0001640000
249,0.0001620000
250,0.0001600000
251,0.0001560000
252,0.0001540000
253,0.0001540000
254,0.0001500000
255,0.0001480000
256,0.0001480000
257,0.0001460000
258,0.0001440000
259,0.0001420000
260,0.0001380000
261,0.0001380000
262,0.0001340000
263,0.0001300000
264,0.0001300000
265,0.0001280000
266,0.0001240000
267,0.0001200000
268,0.0001200000
269,0.0001180000
270,0.0001140000
271,0.0001140000
272,0.0001140000
273,0.0001140000
274,0.0001080000
275,0.0001040000
276,0.0001040000
277,0.0001020000
278,0.0001000000
279,0.0001000000
280,0.0001000000
281,0.0000960000
282,0.0000960000
283,0.0000940000
284,0.0000820000
285,0.0000820000
286,0.0000820000
287,0.0000800000
288,0.0000780000
289,0.0000780000
290,0.0000760000
291,0.0000740000
292,0.0000720000
293,0.0000720000
294,0.0000700000
295,0.0000680000
296,0.0000680000
297,0.0000680000
298,0.0000660000
299,0.0000660000
300,0.0000640000
301,0.0000620000
302,0.0000600000
303,0.0000600000
304,0.0000600000
305,0.0000580000
306,0.0000580000
307,0.0000560000
308,0.0000540000
309,0.0000540000
310,0.0000500000
311,0.0000480000
312,0.0000460000
313,0.0000460000
314,0.0000460000
315,0.0000460000
316,0.0000420000
317,0.0000420000
318,0.0000420000
319,0.0000400000
320,0.0000380000
321,0.0000380000
322,0.0000380000
323,0.0000380000
324,0.0000380000
325,0.0000380000
326,0.0000380000
327,0.0000380000
328,0.0000360000
329,0.0000340000
330,0.0000340000
331,0.0000340000
332,0.0000340000
333,0.0000340000
334,0.0000340000
335,0.0000340000
336,0.0000340000
337,0.0000340000
338,0.0000340000
339,0.0000340000
340,0.0000300000
341,0.0000260000
342,0.0000260000
343,0.0000260000
344,0.0000240000
345,0.0000240000
346,0.0000240000
347,0.0000240000
348,0.0000240000
349,0.0000200000
350,0.0000200000
351,0.0000200000
352,0.0000200000
353,0.0000200000
354,0.0000200000
355,0.0000200000
356,0.0000200000
357,0.0000200000
358,0.0000200000
359,0.0000200000
360,0.0000180000
361,0.0000160000
362,0.0000160000
363,0.0000160000
364,0.0000160000
365,0.0000140000
366,0.0000140000
367,0.0000140000
368,0.0000120000
369,0.0000120000
370,0.0000120000
371,0.0000120000
372,0.0000100000
373,0.0000100000
374,0.0000100000
375,0.0000100000
376,0.0000100000
377,0.0000100000
378,0.0000100000
379,0.0000100000
380,0.0000100000
381,0.0000080000
382,0.0000080000
383,0.0000080000
384,0.0000080000
385,0.0000080000
386,0.0000060000
387,0.0000060000
388,0.0000060000
389,0.0000060000
390,0.0000060000
391,0.0000060000
392,0.0000060000
393,0.0000060000
394,0.0000060000
395,0.0000060000
396,0.0000060000
397,0.0000060000
398,0.0000060000
399,0.0000060000
400,0.0000060000
401,0.0000060000
402,0.0000060000
403,0.0000060000
404,0.0000060000
405,0.0000060000
406,0.0000060000
407,0.0000060000
408,0.0000060000
409,0.0000060000
410,0.0000060000
411,0.0000060000
412,0.0000060000
413,0.0000060000
414,0.0000060000
415,0.0000060000
416,0.0000060000
417,0.0000060000
418,0.0000060000
419,0.0000060000
420,0.0000060000
421,0.0000060000
422,0.0000060000
423,0.0000040000
424,0.0000020000
425,0.0000020000
426,0.0000020000
427,0.0000020000
428,0.0000020000
429,0.0000020000
430,0.0000020000
431,0.0000020000
432,0.0000020000
433,0.0000020000
434,0.0000020000
435,0.0000020000
436,0.0000020000
437,0.0000020000
438,0.0000020000
439,0.0000020000
440,0.0000020000
441,0.0000020000
442,0.0000020000
443,0.0000020000
444,0.0000020000
445,0.0000020000
446,0.0000020000
447,0.0000020000
448,0.0000020000
449,0.0000020000
450,0.0000020000
451,0.0000020000
452,0.0000020000
453,0.0000020000
454,0.0000020000
455,0.0000020000
456,0.0000020000
457,0.0000020000
458,0.0000020000
459,0.0000020000
460,0.0000020000
461,0.0000020000
462,0.0000020000
463,0.0000020000
464,0.0000020000
465,0.0000020000
466,0.0000020000
467,0.0000020000
468,0.0000020000
469,0.0000020000
470,0.0000020000
471,0.0000020000
472,0.0000020000
473,0.0000020000
474,0.0000020000
475,0.0000020000
476,0.0000020000
477,0.0000020000
478,0.0000020000
479,0.0000020000
480,0.0000020000
481,0.0000020000
482,0.0000020000
483,0.0000020000
484,0.0000020000
485,0.0000020000
486,0.0000020000
487,0.0000020000
488,0.0000020000
489,0.0000020000
490,0.0000020000
491,0.0000020000
492,0.0000020000
493,0.0000020000
494,0.0000020000
495,0.0000020000
496,0.0000020000
497,0.0000020000
498,0.0000020000
499,0.0000020000
500,0.0000020000
501,0.0000020000
502,0.0000020000
503,0.0000020000
504,0.0000020000
505,0.0000020000
506,0.0000020000
507,0.0000020000
508,0.0000020000
509,0.0000020000
510,0.0000020000
511,0.0000020000
512,0.0000020000
513,0.0000020000
514,0.0000020000
515,0.0000020000
516,0.0000020000
517,0.0000020000
518,0.0000020000
519,0.0000020000
520,0.0000020000
521,0.0000020000
522,0.0000020000
523,0.0000020000
524,0.0000020000
525,0.0000020000
526,0.0000020000
527,0.0000020000
528,0.0000020000
529,0.0000020000
530,0.0000020000
531,0.0000020000
532,0.0000020000
533,0.0000020000
534,0.0000020000
535,0.0000020000
536,0.0000020000
537,0.0000020000
538,0.0000020000
539,0.0000020000
540,0.0000020000
541,0.0000020000
542,0.0000020000
543,0.0000020000
544,0.0000020000
545,0.0000000000
